License Number,License Type,License Type Code,License Status,License Status Code,Issued Date,Effective Date,Expiration Date,Application Number,SEE Category,Entity Name,DBA,Location ID,Address Line 1,Address Line 2,City,State,Zip Code,County,Region,Latitude,Longitude,Business Website,Operational Status,Business Purpose,Tier Type,Processor Type,Cultivation Indoor,Cultivation Outdoor,Cultivation Mixed Light,Cultivation Combination,Cultivation Activities Drying Curing,Cultivation Activities Storage,Cultivation Activities Packaging,Cultivation Activities Waste Rendering,Processing Activities Extraction,Processing Activities Blending and Infusing,Processing Activities Packaging and Labeling,Processing Activities Branding,Retail Activities Sales with Delivery,Retail Activities Sales No Delivery,Retail Activities Non-Cannabis Products,Retail Activities Drive Thru,Retail Date Opened to Public,Primary Contact Name
OCM-PROC-24-000104,Adult-Use Processor License,OCMPROC,Active,LICACT,09/12/2024 12:00:00 AM,09/12/2024 12:00:00 AM,09/12/2026 12:00:00 AM,OCMPROC-2023-000320,,269 Fulton St LLC,,4998FE6E-33B4-41E6-A98D-D464D1B296C8,269 Fulton Ave,,Hempstead,NY,11550,Nassau,Long Island,40.70858,-73.62548,,Active,Adult-Use Processing,,"Infusing and Blending; and Packaging, Labeling and Branding",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,,Gabriel Sarikov
,Adult-Use Retail Dispensary License,OCMRETL,In-Process,Pending,,,,OCMRETL-2023-002068,,296 Retail Venture LLC,,B0C1D0FF-8261-47B8-9361-D1047F2531A1,296 Route 59,,Airmont,NY,10901,Rockland,Mid-Hudson,41.11189,74.10081,,Non-Operational,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Michael Rosenblum
,Adult-Use Retail Dispensary License,OCMRETL,In-Process,Pending,,,,OCMRETL-2023-001992,,2 Forest Park Lane LLC,Charlie Fox,F3DB86C2-3731-4DD5-B39B-9B338DF5641A,719 7th Ave,,New York,NY,10036,New York,Manhattan,40.759826,73.984057,shopcharliefox.com,Non-Operational,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,William Norgard
OCM-PROC-24-000099,Adult-Use Processor License,OCMPROC,Active,LICACT,09/12/2024 12:00:00 AM,09/12/2024 12:00:00 AM,09/12/2026 12:00:00 AM,OCMPROC-2023-000032,Women-Owned Business,2X Baked Llc,,D763E55E-EB71-4555-9239-3FDB47A5D655,22 Glenby Ln,,Glen Head,NY,11545,Nassau,Long Island,40.81772,-73.56153,,Active,Adult-Use Processing,,"Extraction; Infusing and Blending; and Packaging, Labeling and Branding",0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,,Richard Inguanta
,Adult-Use Retail Dispensary License,OCMRETL,In-Process,Pending,,,,OCMRETL-2023-001401,,315Exotics Inc.,,E22B0B97-CD90-4E96-B498-06C190236F37,4 W Main St,,Sodus,NY,14551,Wayne,Finger Lakes,43.236315,-77.061729,,Non-Operational,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,Andrew Sick
,Adult-Use Retail Dispensary License,OCMRETL,In-Process,Pending,,,,OCMRETL-2023-000387,,33 SMOKE SHOP INC,,67D0637D-1521-48DE-AEE8-3C4BD7BF84C2,5827 S Transit Rd,,Lockport,NY,14094,Niagara,Western NY,43.14236,78.69563,,Non-Operational,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Maged Nasser
OCM-CAURD-24-000187,Conditional Adult-Use Retail Dispensary License,OCMCAURD22,Active,LICACT,08/09/2024 12:00:00 AM,08/09/2024 12:00:00 AM,08/09/2026 12:00:00 AM,OCMCAURDP-2023-000208,,3 - 5 HOLDINGS LLC,The Highly Connected Dispensary,160401,423 Franklin St,,Ithaca,NY,14850,Tompkins,Southern Tier,,,,Active,AdultUseRetail,,,,,,,,,,,,,,,,,,,09/09/2024 12:00:00 AM,Wendy Matesanz
,Adult-Use Retail Dispensary License,OCMRETL,In-Process,Pending,,,,OCMRETL-2023-001413,,3714 34th LLC,,E53E364B-35BE-4262-8ED3-0F80F73176D7,3714 34th St,,Long Island City,NY,11101,Queens,Queens,40.753453,-73.929135,,Non-Operational,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,Zehong Xin
OCM-RETL-24-000082,Adult-Use Retail Dispensary License,OCMRETL,Active,LICACT,05/13/2024 12:00:00 AM,05/13/2024 12:00:00 AM,05/13/2026 12:00:00 AM,OCMRETL-2023-000413,Minority-Owned Business,3807 harlem Cannabis LLC,Buffalo Cannabis Outlet,762EB292-50E7-4A4E-9524-A043CE591EF5,3807 Harlem Rd,,Buffalo,NY,14215,Erie,Western NY,42.9474306,-78.7838475,,Active,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,07/05/2024 12:00:00 AM,Rupinder Kaur
,Adult-Use Retail Dispensary License,OCMRETL,In-Process,Pending,,,,OCMRETL-2023-001565,,"3 Guys Canna, LLC",,D2C9F8E1-7116-4035-AFB3-1FE04BD1B06A,145 Ganson St,,Buffalo,NY,14203,Erie,Western NY,42.864088,-78.869823,,Non-Operational,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,Joseph Carubba
,Conditional Adult-Use Retail Dispensary License,OCMCAURD22,In-Process,Pending,,,,OCMCAURDP-2024-000073,,3M Squared LLC,,LID015,898 Gerard Ave,,Bronx,NY,10452,Bronx,,40.82818842,-73.92445064,,,Adult-Use Retail Sales,,,,,,,,,,,,,,,,,,,,
,Adult-Use Retail Dispensary License,OCMRETL,In-Process,Pending,,,,OCMRETL-2023-001810,,"3PM Ventures, LLC",,3D106ACD-FD66-4E02-86A1-24DDFEB96558,2494 Niagara Falls Blvd,,Tonawanda,NY,14150,Erie,Western NY,43.022493,-78.822647,,Non-Operational,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,James Parra
OCM-RETL-24-000014,Adult-Use Retail Dispensary License,OCMRETL,Active,LICACT,03/04/2024 12:00:00 AM,03/04/2024 12:00:00 AM,03/04/2026 12:00:00 AM,OCMRETL-2023-001102,Individuals from a community disproportionately impacted by the enforcement of cannabis prohibition,"4081 Companies, LLC",,DE03017E-E024-488E-B5A7-B22A56A621A1,772 Nostrand Ave,,Brooklyn,NY,11216,Kings,Brooklyn,40.672247,-73.950427,,Active,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,Jean Gordon
,Adult-Use Retail Dispensary License,OCMRETL,In-Process,Pending,,,,OCMRETL-2023-000946,,"4081House, LLC",,37396727-38D1-49D1-B5AA-BBF7E70BC2E5,9458 221st St,,Queens Village,NY,11428,Queens,Queens,40.719912,-73.733583,,Non-Operational,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,Jocelyn Verna
,Adult-Use Retail Dispensary License,OCMRETL,In-Process,Pending,,,,OCMRETL-2023-001369,,"4081House, LLC",,13C71073-CA69-405A-A586-ED4781773536,158-160 Remsen St,,Cohoes,NY,12047,Albany,Capital District,42.772305,-73.701088,,Non-Operational,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,Jocelyn Verna
OCM-CAURD-24-000133,Conditional Adult-Use Retail Dispensary License,OCMCAURD22,Active,LICACT,04/19/2024 12:00:00 AM,04/19/2024 12:00:00 AM,04/19/2026 12:00:00 AM,OCMCAURDP-2023-000196,,"4081 Industries, LLC",TRANSCEND WELLNESS PRODUCTS & SERVICES,131086,289 Oakwood Ave Ste D,,Troy,NY,12182,Rensselaer,Capital Region,,,,Active,AdultUseRetail,,,,,,,,,,,,,,,,,,,,Baptiste Raphael
,Adult-Use Retail Dispensary License,OCMRETL,In-Process,Pending,,,,OCMRETL-2023-000794,,420 Glass Company,,2FCCCF76-1AA4-4B23-AC23-2273C7C9AC49,8555 Seneca Tpke,,New Hartford,NY,13413,Oneida,Mohawk Valley,43.082884,-75.315614,,Non-Operational,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Todd Shoen
,Adult-Use Cultivator License,OCMCULT,In-Process,Pending,,,,OCMCULT-2023-000120,,420 Green Corn LLC,,B966EDC3-C0AD-4FDA-8FF6-E6EC64C9A53E,,,,,,Columbia,Capital District,,,,Non-Operational,Adult-Use Cultivation,CCULT_COMBINATION_T2,,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,,Joseph Adornetto
,Conditional Adult-Use Retail Dispensary License,OCMCAURD22,In-Process,Pending,,,,OCMCAURDP-2023-000230,,420 NY LLC,,LID009,2431 Grand Concourse,,Bronx,NY,10468,Bronx,,40.86104485,-73.89819619,,,Adult-Use Retail Sales,,,,,,,,,,,,,,,,,,,,
,Conditional Adult-Use Retail Dispensary License,OCMCAURD22,In-Process,Pending,,,,OCMCAURDP-2024-000100,,420 Wonderland LLC,,LID210,13872 Queens Blvd,,Briarwood,NY,11435,Queens,,40.70695089,-73.8173485,,,Adult-Use Retail Sales,,,,,,,,,,,,,,,,,,,,
OCM-CULT-24-000003,Adult-Use Cultivator License,OCMCULT,Active,LICACT,02/22/2024 12:00:00 AM,02/22/2024 12:00:00 AM,02/22/2026 12:00:00 AM,OCMCULT-2023-000113,,4 Erratic Farm LLC,,E66C234C-E8D4-4EC0-A4F1-C98EE26D9D9A,,,,,,Onondaga,Central NY,,,,Active,Adult-Use Cultivation,CCULT_OUTDOOR_T2,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,David Dzielak
,Conditional Adult-Use Retail Dispensary License,OCMCAURD22,In-Process,Pending,,,,OCMCAURDP-2024-000062,,"4 Jays, LLC",,LID025,2500 South Rd,,Poughkeepsie,NY,12601,Dutchess,,41.65990699,-73.93022661,,,Adult-Use Retail Sales,,,,,,,,,,,,,,,,,,,,
,Adult-Use Retail Dispensary License,OCMRETL,In-Process,Pending,,,,OCMRETL-2023-001962,,"4P Group, LLC",,AD7D338C-8158-4B63-8354-5879F8065477,629 Nostrand Ave,,Brooklyn,NY,11216,Kings,Brooklyn,40.675549,-73.949722,,Non-Operational,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,Zonayad Akbar
,Adult-Use Retail Dispensary License,OCMRETL,In-Process,Pending,,,,OCMRETL-2023-001427,,5514 Myrtle Ave Corp,,51F5B670-58D6-4AA9-9010-FDBA37F6F8E1,55-14 Myrtle Avenue,,Ridgewood,NY,11385,Queens,Queens,40.69991751,73.90784127,,Non-Operational,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,Jacqueline Kafedjian
,Adult-Use Distributor License,OCMDIST,In-Process,Pending,,,,OCMDIST-2023-000039,,574 INC.,,E440A706-70F1-4BEA-9E42-453E10F67355,9409 130th St,,Jamaica,NY,11419,Queens,Queens,40.6957167,-73.8186925,,Non-Operational,Adult-Use Distribution,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Allan Perez
OCM-CULT-24-000102,Adult-Use Cultivator License,OCMCULT,Active,LICACT,06/12/2024 12:00:00 AM,06/12/2024 12:00:00 AM,06/12/2026 12:00:00 AM,OCMCULT-2023-000202,Women-Owned Business,5 Getby LLC,,62B58563-518D-4ED3-942E-C24C5BD34732,,,,,,Suffolk,Long Island,,,,Active,Adult-Use Cultivation,CULT_INDOOR_T1,,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,,Paulette Davis
,Adult-Use Processor License,OCMPROC,In-Process,Pending,,,,OCMPROC-2023-000318,,5PC LLC,,3A94ABEB-8BD8-4B2F-94BA-D310D1878E9D,177 Sanfordville Rd,,Warwick,NY,10990,Orange,Mid-Hudson,41.734537,-74.388798,,Non-Operational,Adult-Use Processing,,"Packaging; Labeling and Branding, including for the exclusive performance of white labeling agreements",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,Eric Lorandini
,Adult-Use Retail Dispensary License,OCMRETL,In-Process,Pending,,,,OCMRETL-2023-002039,,65-55 Woodhaven Licensing LLC,,0ED34044-6542-4B35-B4A9-09D0582301EC,65-55 Woodhaven Blvd,,Rego Park,NY,11374,Queens,Queens,40.71904,-73.86371,,Non-Operational,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,Marina Katayeva
OCM-CAURD-23-000043,Conditional Adult-Use Retail Dispensary License,OCMCAURD22,Active,LICACT,12/29/2023 12:00:00 AM,12/29/2023 12:00:00 AM,12/29/2025 12:00:00 AM,OCMCAURDP-2023-000064,,716 Cannabis,,17760,2053 Electric Ave,,Blasdell,NY,14219,Erie,Western NY,,,,Active,AdultUseRetail,,,,,,,,,,,,,,,,,,,01/02/2024 12:00:00 AM,John Duncan
OCM-MICR-24-000171,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,10/09/2024 12:00:00 AM,10/09/2024 12:00:00 AM,10/09/2026 12:00:00 AM,OCMMICR-2023-000531,Women-Owned Business,716HomeGrowz LLC,,CDD77FC3-E3B8-4032-8FB9-7F7D53891E0A,3786 Broadway St,,Cheektowaga,NY,14227,Erie,Western NY,42.904571,-78.738638,716homegrowz.com,Active,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution, Adult-Use Retail Sales",,,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,,Scott Decota
OCM-RETL-24-000133,Adult-Use Retail Dispensary License,OCMRETL,Active,LICACT,07/15/2024 12:00:00 AM,07/15/2024 12:00:00 AM,07/15/2026 12:00:00 AM,OCMRETL-2023-001056,,716 M.J. LLC,Forever 4 20,3C1A5886-DFD5-4706-8D8D-AF0D10D58A17,"1287 E. Delavan Ave., Store Right",,Buffalo,NY,14215,Erie,Western NY,42.92256,-78.80904,,Active,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,Wendy Francis
OCM-MICR-24-000019,Adult-Use Microbusiness License,OCMMICR,Active,LICACT,03/04/2024 12:00:00 AM,03/04/2024 12:00:00 AM,03/04/2026 12:00:00 AM,OCMMICR-2023-000553,Individuals from a community disproportionately impacted by the enforcement of cannabis prohibition,716Sticky LLC,,74CB60C4-1B6E-4FDD-B6F4-30E9BBCAD9B1,356 Hopkins St Ste 420,,Buffalo,NY,14220,Erie,Western NY,42.847644,-78.832776,,Active,"Adult-Use Cultivation, Adult-Use Processing, Adult-Use Distribution, Adult-Use Retail Sales",,,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,,David Miller
,Conditional Adult-Use Retail Dispensary License,OCMCAURD22,In-Process,Pending,,,,OCMCAURDP-2023-000168,,"718 Equity Enterprise, Inc.",,LID064,348 N Goodman St,,Rochester,NY,14607,Monroe,,43.15855729,-77.58536727,,,Adult-Use Retail Sales,,,,,,,,,,,,,,,,,,,,
,Adult-Use Retail Dispensary License,OCMRETL,In-Process,Pending,,,,OCMRETL-2023-001330,,720 winton road LLC,,0FBB12B3-1FD9-41F6-B8B7-D68A755E77BC,722 N Winton Rd,,Rochester,NY,14609,Monroe,Finger Lakes,43.159304,77.5475,,Non-Operational,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Todd Terwilliger
OCM-RETL-24-000022,Adult-Use Retail Dispensary License,OCMRETL,Active,LICACT,03/21/2024 12:00:00 AM,03/21/2024 12:00:00 AM,03/21/2026 12:00:00 AM,OCMRETL-2023-001456,,7420 Utrecht LLC,,AEDE107B-142F-40A3-921C-AE71455B95D0,7420 New Utrecht Ave,,Brooklyn,NY,11204,Kings,Brooklyn,40.616261,-74.000107,,Active,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,Joseph Vierheller
OCM-CAURD-24-000056,Conditional Adult-Use Retail Dispensary License,OCMCAURD22,Active,LICACT,01/24/2024 12:00:00 AM,01/24/2024 12:00:00 AM,01/24/2026 12:00:00 AM,OCMCAURDP-2023-000098,,7 Point Dispensary INC.,,105591,332 Northern Blvd,,Albany,NY,12204,Albany,Capital Region,,,,Active,AdultUseRetail,,,,,,,,,,,,,,,,,,,02/02/2024 12:00:00 AM,Christine Richardson
OCM-CAURD-24-000148,Conditional Adult-Use Retail Dispensary License,OCMCAURD22,Active,LICACT,05/17/2024 12:00:00 AM,05/17/2024 12:00:00 AM,05/17/2026 12:00:00 AM,OCMCAURDP-2023-000119,,82-J LLC,,139050,1673 Hertle Avenue,,Buffalo,NY,14216,Erie,Western NY,,,,Active,AdultUseRetail,,,,,,,,,,,,,,,,,,,,Jorge Vasquez
OCM-RETL-24-000059,Adult-Use Retail Dispensary License,OCMRETL,Active,LICACT,04/17/2024 12:00:00 AM,04/17/2024 12:00:00 AM,04/17/2026 12:00:00 AM,OCMRETL-2023-001581,Minority-Owned Business,844 Route 211 LLC,,89D55294-C5B6-4EB8-8596-425ED35A1247,1326 County Route 12,,New Hampton,NY,10958,Orange,Mid-Hudson,41.381977,-74.425585,,Active,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,08/12/2024 12:00:00 AM,Wei Hu
,Adult-Use Retail Dispensary License,OCMRETL,In-Process,Pending,,,,OCMRETL-2023-001035,,873 SHYAMAL INTERNATIONAL INC,,13B0321D-0DC9-45DB-AE75-4E0B4D75EB7D,87 N Country Rd Ste 3,,Miller Place,NY,11764,Suffolk,Long Island,40.958496,-73.004132,,Non-Operational,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Prashant Parikh
,Adult-Use Microbusiness License,OCMMICR,In-Process,Pending,,,,OCMMICR-2023-000371,,8 Legacies Inc.,,7F2178EF-82E3-478F-AE0E-0CDD7A6C340D,3211 Philip Ave,,Bronx,NY,10465,Bronx,Bronx,40.830833,73.817778,,Non-Operational,"Adult-Use Cultivation, Adult-Use Retail Sales",,,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,,Patricia Higgins
OCM-RETL-24-000114,Adult-Use Retail Dispensary License,OCMRETL,Active,LICACT,06/21/2024 12:00:00 AM,06/21/2024 12:00:00 AM,06/21/2026 12:00:00 AM,OCMRETL-2023-001074,Service-Disabled Veteran-Owned Business,960 bloomingdale road LLC,,83A485B2-C4DB-4982-A622-53F8283C195F,960 Bloomingdale Rd,Store 2,Staten Island,NY,10309,Richmond,Richmond,40.54946,-74.22131,,Active,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,Michael Zaccari
,Adult-Use Retail Dispensary License,OCMRETL,In-Process,Pending,,,,OCMRETL-2023-000901,,A2B Luxury LLC,,338BC5A0-2D5D-47EC-80BF-1913D1D282C9,356 Broadway,,Kingston,NY,12401,Ulster,Mid-Hudson,41.92626669,-73.99366667,,Non-Operational,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,Trevonne Gilliard
OCM-RETL-24-000178,Adult-Use Retail Dispensary License,OCMRETL,Active,LICACT,09/17/2024 12:00:00 AM,09/17/2024 12:00:00 AM,09/17/2026 12:00:00 AM,OCMRETL-2023-001325,Minority-Owned Business,AA 301 W. 45th St Inc.,,914A37C3-6B90-40ED-BC6C-3437F082FF9D,743 9th Ave,,New York,NY,10019,New York,Manhattan,40.76377,-73.989091,,Active,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,Lintha Khan
